date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:16:35	26074/26074	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2265b69a3a-65da%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.5.0.eot	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.5.0.eot	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
14:16:36	26074/26074	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2265b69a3a-65da%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.5.0.eot?	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.5.0d41d.eot	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
14:16:36	8856/8856	---M--	200	added ('OK')	font/woff2	etag:%2265b69a3a-2298%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.5.0.woff2	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.5.0.woff2	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
14:16:38	10992/10992	---M--	200	added ('OK')	font/woff	etag:%2265b69a3a-2af0%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.5.0.woff	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.5.0.woff	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
14:16:38	25776/25776	---M--	200	added ('OK')	font/ttf	etag:%2265b69a3a-64b0%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.5.0.ttf	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.5.0.ttf	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
14:16:39	128051/128051	---M--	200	added ('OK')	image/svg+xml	etag:%2265b69a3a-1f433%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.5.0.svg	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.5.0.svg	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
14:16:39	23506/23506	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2265b69a3a-5bd2%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.0.eot	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.0.eot	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
14:16:40	23506/23506	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2265b69a3a-5bd2%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.0.eot?	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.0d41d.eot	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
14:16:42	10380/10380	---M--	200	added ('OK')	font/woff2	etag:%2265b69a3a-288c%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.0.woff2	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.0.woff2	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
14:16:43	12812/12812	---M--	200	added ('OK')	font/woff	etag:%2265b69a3a-320c%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.0.woff	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.0.woff	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
